lifestyle_key,Diet_Type,Smoking_Alcohol,Physical_Activity_Level
6571,non-veg,yes,sedentary
6572,non-veg,yes,moderate
6573,veg,no,sedentary
6574,balanced,occasional,sedentary
6575,non-veg,no,active
6576,non-veg,occasional,sedentary
6577,balanced,yes,moderate
6578,veg,yes,moderate
6579,non-veg,occasional,active
6580,veg,yes,moderate
6581,non-veg,occasional,sedentary
6582,non-veg,no,active
6583,veg,no,sedentary
6584,veg,no,moderate
6585,veg,yes,moderate
6586,balanced,occasional,sedentary
6587,balanced,occasional,active
6588,veg,no,active
6589,balanced,yes,active
6590,non-veg,occasional,sedentary
6591,non-veg,occasional,moderate
6592,veg,yes,active
6593,non-veg,yes,sedentary
6594,veg,yes,active
6595,veg,occasional,active
6596,non-veg,occasional,sedentary
6597,veg,no,active
6598,balanced,no,active
6599,veg,no,active
6600,non-veg,occasional,active
6601,non-veg,occasional,active
6602,veg,no,sedentary
6603,balanced,yes,sedentary
6604,balanced,yes,moderate
6605,non-veg,occasional,moderate
6606,balanced,yes,active
6607,non-veg,no,sedentary
6608,non-veg,occasional,sedentary
6609,balanced,occasional,moderate
6610,balanced,no,active
6611,non-veg,no,moderate
6612,balanced,occasional,sedentary
6613,veg,occasional,active
6614,veg,no,active
6615,non-veg,occasional,moderate
6616,balanced,yes,moderate
6617,veg,yes,sedentary
6618,non-veg,yes,active
6619,balanced,yes,sedentary
6620,balanced,yes,sedentary
6621,non-veg,no,sedentary
6622,veg,yes,sedentary
6623,veg,occasional,moderate
6624,non-veg,yes,sedentary
6625,non-veg,yes,sedentary
6626,non-veg,occasional,moderate
6627,non-veg,no,sedentary
6628,non-veg,yes,moderate
6629,non-veg,occasional,sedentary
6630,non-veg,no,active
6631,balanced,no,moderate
6632,non-veg,yes,active
6633,non-veg,occasional,moderate
6634,veg,occasional,moderate
6635,non-veg,occasional,active
6636,balanced,no,sedentary
6637,balanced,yes,sedentary
6638,non-veg,occasional,sedentary
6639,veg,yes,active
6640,non-veg,no,sedentary
6641,non-veg,yes,active
6642,veg,yes,active
6643,balanced,no,sedentary
6644,veg,no,active
6645,veg,no,sedentary
6646,veg,no,sedentary
6647,veg,yes,moderate
6648,veg,no,sedentary
6649,non-veg,yes,active
6650,non-veg,no,active
6651,non-veg,yes,moderate
6652,balanced,yes,active
6653,non-veg,yes,sedentary
6654,balanced,no,sedentary
6655,veg,no,active
6656,balanced,yes,sedentary
6657,balanced,yes,active
6658,veg,no,moderate
6659,veg,no,sedentary
6660,veg,occasional,moderate
6661,balanced,yes,active
6662,non-veg,occasional,moderate
6663,balanced,occasional,active
6664,veg,occasional,moderate
6665,non-veg,yes,active
6666,veg,occasional,sedentary
6667,non-veg,yes,moderate
6668,balanced,no,active
6669,non-veg,no,sedentary
6670,veg,yes,active
6671,non-veg,no,sedentary
6672,balanced,no,active
6673,balanced,no,moderate
6674,non-veg,occasional,sedentary
6675,balanced,yes,moderate
6676,non-veg,yes,active
6677,balanced,occasional,moderate
6678,non-veg,yes,sedentary
6679,veg,yes,sedentary
6680,veg,occasional,sedentary
6681,balanced,no,sedentary
6682,non-veg,no,active
6683,veg,occasional,moderate
6684,veg,yes,sedentary
6685,balanced,occasional,moderate
6686,non-veg,yes,active
6687,veg,no,active
6688,balanced,occasional,sedentary
6689,veg,no,sedentary
6690,non-veg,occasional,active
6691,veg,occasional,active
6692,veg,no,sedentary
6693,non-veg,no,active
6694,non-veg,no,moderate
6695,veg,yes,active
6696,balanced,no,moderate
6697,non-veg,occasional,active
6698,balanced,occasional,sedentary
6699,non-veg,yes,sedentary
6700,non-veg,occasional,active
6701,non-veg,yes,moderate
6702,veg,no,active
6703,non-veg,yes,moderate
6704,balanced,no,moderate
6705,veg,yes,sedentary
6706,non-veg,occasional,active
6707,veg,no,active
6708,veg,occasional,active
6709,non-veg,occasional,sedentary
6710,non-veg,yes,active
6711,non-veg,occasional,moderate
6712,veg,no,active
6713,non-veg,yes,sedentary
6714,balanced,no,moderate
6715,non-veg,yes,active
6716,veg,yes,moderate
6717,veg,occasional,sedentary
6718,non-veg,yes,sedentary
6719,veg,occasional,moderate
6720,balanced,occasional,sedentary
6721,balanced,no,moderate
6722,balanced,no,active
6723,non-veg,occasional,sedentary
6724,balanced,occasional,active
6725,balanced,occasional,active
6726,veg,occasional,active
6727,balanced,yes,sedentary
6728,non-veg,no,moderate
6729,veg,no,moderate
6730,non-veg,occasional,sedentary
6731,veg,no,active
6732,balanced,occasional,sedentary
6733,balanced,no,sedentary
6734,non-veg,occasional,moderate
6735,veg,no,sedentary
6736,non-veg,occasional,moderate
6737,veg,no,sedentary
6738,veg,occasional,moderate
6739,balanced,no,sedentary
6740,veg,no,sedentary
6741,non-veg,no,moderate
6742,veg,no,active
6743,veg,no,sedentary
6744,balanced,yes,sedentary
6745,non-veg,occasional,moderate
6746,balanced,occasional,moderate
6747,balanced,yes,active
6748,non-veg,yes,sedentary
6749,balanced,no,sedentary
6750,balanced,no,moderate
6751,veg,no,sedentary
6752,non-veg,occasional,moderate
6753,balanced,no,moderate
6754,balanced,yes,active
6755,balanced,occasional,moderate
6756,veg,no,moderate
6757,balanced,no,moderate
6758,balanced,yes,moderate
6759,balanced,no,sedentary
6760,balanced,no,sedentary
6761,balanced,no,moderate
6762,veg,yes,moderate
6763,veg,no,sedentary
6764,balanced,occasional,moderate
6765,non-veg,occasional,moderate
6766,non-veg,yes,moderate
6767,non-veg,yes,active
6768,veg,yes,moderate
6769,non-veg,no,active
6770,veg,yes,moderate
6771,non-veg,yes,moderate
6772,balanced,no,sedentary
6773,veg,yes,moderate
6774,non-veg,yes,moderate
6775,non-veg,occasional,moderate
6776,veg,occasional,active
6777,veg,yes,active
6778,non-veg,no,active
6779,non-veg,no,moderate
6780,balanced,occasional,moderate
6781,balanced,occasional,active
6782,veg,no,sedentary
6783,non-veg,yes,moderate
6784,veg,yes,active
6785,balanced,no,sedentary
6786,balanced,yes,moderate
6787,non-veg,yes,active
6788,veg,yes,moderate
6789,balanced,no,active
6790,non-veg,no,active
6791,veg,yes,moderate
6792,veg,yes,moderate
6793,veg,no,sedentary
6794,non-veg,yes,active
6795,balanced,occasional,active
6796,balanced,occasional,sedentary
6797,non-veg,occasional,active
6798,balanced,occasional,moderate
6799,non-veg,yes,sedentary
6800,veg,no,active
6801,balanced,no,active
6802,balanced,yes,sedentary
6803,non-veg,occasional,sedentary
6804,non-veg,no,sedentary
6805,non-veg,yes,moderate
6806,non-veg,occasional,active
6807,balanced,no,moderate
6808,veg,yes,active
6809,balanced,occasional,moderate
6810,veg,occasional,sedentary
6811,balanced,no,moderate
6812,balanced,yes,sedentary
6813,veg,yes,moderate
6814,veg,no,active
6815,non-veg,no,sedentary
6816,balanced,yes,moderate
6817,non-veg,occasional,moderate
6818,balanced,occasional,sedentary
6819,balanced,no,active
6820,non-veg,no,sedentary
6821,balanced,no,sedentary
6822,veg,yes,active
6823,non-veg,occasional,active
6824,balanced,occasional,active
6825,balanced,no,active
6826,veg,no,active
6827,non-veg,no,moderate
6828,balanced,yes,moderate
6829,veg,occasional,moderate
6830,balanced,no,active
6831,balanced,no,moderate
6832,non-veg,yes,moderate
6833,balanced,occasional,active
6834,non-veg,yes,moderate
6835,non-veg,no,sedentary
6836,balanced,yes,sedentary
6837,veg,yes,active
6838,non-veg,yes,moderate
6839,balanced,occasional,sedentary
6840,balanced,occasional,sedentary
6841,veg,yes,moderate
6842,non-veg,yes,active
6843,non-veg,occasional,moderate
6844,balanced,no,active
6845,balanced,no,active
6846,non-veg,no,active
6847,non-veg,occasional,active
6848,non-veg,occasional,sedentary
6849,balanced,no,moderate
6850,non-veg,occasional,sedentary
6851,balanced,occasional,moderate
6852,balanced,yes,moderate
6853,veg,occasional,sedentary
6854,balanced,yes,sedentary
6855,balanced,yes,moderate
6856,balanced,occasional,sedentary
6857,non-veg,yes,sedentary
6858,veg,occasional,sedentary
6859,veg,occasional,active
6860,veg,occasional,sedentary
6861,balanced,no,active
6862,non-veg,occasional,moderate
6863,balanced,yes,active
6864,veg,no,moderate
6865,non-veg,occasional,moderate
6866,balanced,occasional,sedentary
6867,veg,no,moderate
6868,balanced,no,active
6869,non-veg,no,active
6870,veg,yes,active
6871,non-veg,yes,moderate
6872,balanced,yes,active
6873,balanced,yes,active
6874,balanced,occasional,moderate
6875,non-veg,occasional,sedentary
6876,veg,yes,sedentary
6877,veg,occasional,active
6878,balanced,yes,sedentary
6879,veg,occasional,sedentary
6880,veg,yes,active
6881,balanced,yes,sedentary
6882,balanced,yes,sedentary
6883,balanced,yes,active
6884,veg,occasional,active
6885,veg,no,sedentary
6886,veg,no,sedentary
6887,veg,occasional,active
6888,veg,yes,active
6889,non-veg,occasional,sedentary
6890,balanced,occasional,sedentary
6891,balanced,yes,moderate
6892,veg,yes,sedentary
6893,non-veg,occasional,moderate
6894,balanced,yes,active
6895,non-veg,occasional,active
6896,non-veg,no,active
6897,non-veg,yes,active
6898,balanced,yes,active
6899,non-veg,occasional,moderate
6900,veg,no,active
6901,non-veg,no,moderate
6902,balanced,no,sedentary
6903,veg,yes,active
6904,veg,no,sedentary
6905,veg,no,moderate
6906,veg,occasional,sedentary
6907,non-veg,no,moderate
6908,balanced,yes,sedentary
6909,balanced,yes,active
6910,non-veg,no,sedentary
6911,veg,yes,sedentary
6912,balanced,yes,moderate
6913,balanced,no,sedentary
6914,veg,occasional,moderate
6915,non-veg,occasional,moderate
6916,veg,yes,active
6917,non-veg,no,sedentary
6918,non-veg,occasional,active
6919,balanced,no,sedentary
6920,veg,yes,active
6921,non-veg,occasional,active
6922,non-veg,no,sedentary
6923,veg,no,moderate
6924,veg,no,moderate
6925,veg,occasional,sedentary
6926,veg,occasional,sedentary
6927,veg,yes,active
6928,non-veg,no,moderate
6929,veg,occasional,active
6930,non-veg,yes,sedentary
6931,veg,occasional,moderate
6932,non-veg,occasional,sedentary
6933,balanced,occasional,moderate
6934,veg,no,moderate
6935,balanced,occasional,active
6936,non-veg,occasional,active
6937,balanced,yes,active
6938,non-veg,no,sedentary
6939,non-veg,yes,moderate
6940,non-veg,occasional,sedentary
6941,non-veg,yes,moderate
6942,non-veg,no,sedentary
6943,veg,yes,active
6944,balanced,occasional,active
6945,veg,no,moderate
6946,balanced,occasional,moderate
6947,veg,occasional,moderate
6948,non-veg,no,active
6949,non-veg,occasional,active
6950,non-veg,yes,sedentary
6951,balanced,occasional,sedentary
6952,non-veg,no,sedentary
6953,veg,yes,sedentary
6954,non-veg,yes,active
6955,balanced,no,sedentary
6956,veg,occasional,moderate
6957,non-veg,no,active
6958,balanced,yes,active
6959,veg,yes,sedentary
6960,veg,yes,active
6961,non-veg,no,active
6962,non-veg,yes,sedentary
6963,veg,yes,active
6964,veg,yes,sedentary
6965,non-veg,no,sedentary
6966,balanced,occasional,active
6967,balanced,yes,active
6968,non-veg,yes,sedentary
6969,veg,occasional,moderate
6970,balanced,yes,moderate
6971,balanced,yes,sedentary
6972,balanced,occasional,moderate
6973,veg,no,active
6974,non-veg,no,moderate
6975,non-veg,occasional,sedentary
6976,non-veg,no,sedentary
6977,veg,no,sedentary
6978,veg,no,active
6979,balanced,yes,moderate
6980,non-veg,no,moderate
6981,veg,no,sedentary
6982,veg,yes,moderate
6983,veg,yes,sedentary
6984,balanced,yes,sedentary
6985,non-veg,yes,active
6986,veg,occasional,active
6987,non-veg,no,active
6988,non-veg,no,moderate
6989,non-veg,occasional,active
6990,balanced,yes,active
6991,non-veg,yes,sedentary
6992,balanced,no,moderate
6993,veg,yes,active
6994,veg,yes,moderate
6995,veg,occasional,moderate
6996,non-veg,occasional,sedentary
6997,balanced,yes,sedentary
6998,veg,yes,moderate
6999,balanced,occasional,active
7000,non-veg,no,moderate
7001,non-veg,occasional,sedentary
7002,veg,no,active
7003,balanced,occasional,moderate
7004,veg,occasional,sedentary
7005,non-veg,yes,active
7006,veg,occasional,active
7007,non-veg,occasional,active
7008,non-veg,occasional,active
7009,balanced,no,moderate
7010,balanced,yes,active
7011,veg,occasional,sedentary
7012,balanced,occasional,moderate
7013,balanced,yes,sedentary
7014,non-veg,yes,moderate
7015,balanced,yes,active
7016,non-veg,yes,sedentary
7017,balanced,occasional,sedentary
7018,non-veg,yes,moderate
7019,veg,yes,sedentary
7020,balanced,occasional,sedentary
7021,veg,occasional,moderate
7022,balanced,no,sedentary
7023,veg,occasional,sedentary
7024,veg,occasional,sedentary
7025,balanced,no,active
7026,balanced,no,sedentary
7027,veg,yes,active
7028,balanced,occasional,sedentary
7029,non-veg,no,sedentary
7030,non-veg,occasional,sedentary
7031,balanced,no,active
7032,non-veg,occasional,moderate
7033,non-veg,occasional,sedentary
7034,non-veg,no,sedentary
7035,veg,no,active
7036,veg,occasional,moderate
7037,veg,no,sedentary
7038,balanced,yes,moderate
7039,veg,yes,moderate
7040,non-veg,occasional,sedentary
7041,veg,occasional,sedentary
7042,balanced,yes,moderate
7043,veg,occasional,active
7044,veg,no,moderate
7045,veg,yes,active
7046,veg,yes,moderate
7047,non-veg,no,moderate
7048,veg,occasional,active
7049,non-veg,occasional,sedentary
7050,non-veg,occasional,active
7051,veg,no,moderate
7052,veg,occasional,moderate
7053,veg,no,sedentary
7054,veg,no,moderate
7055,veg,no,sedentary
7056,balanced,no,active
7057,non-veg,occasional,moderate
7058,veg,no,active
7059,veg,no,moderate
7060,veg,no,sedentary
7061,veg,occasional,moderate
7062,non-veg,occasional,active
7063,balanced,no,active
7064,balanced,no,sedentary
7065,non-veg,yes,moderate
7066,non-veg,occasional,moderate
7067,veg,no,sedentary
7068,balanced,yes,moderate
7069,balanced,no,sedentary
7070,veg,occasional,moderate
7071,veg,occasional,moderate
7072,balanced,occasional,moderate
7073,veg,occasional,sedentary
7074,balanced,no,moderate
7075,non-veg,yes,sedentary
7076,non-veg,no,moderate
7077,veg,occasional,active
7078,non-veg,yes,sedentary
7079,veg,yes,sedentary
7080,balanced,no,moderate
7081,non-veg,no,moderate
7082,non-veg,no,active
7083,non-veg,no,active
7084,non-veg,occasional,sedentary
7085,veg,occasional,active
7086,balanced,occasional,sedentary
7087,non-veg,occasional,moderate
7088,veg,no,sedentary
7089,veg,yes,moderate
7090,veg,no,sedentary
7091,non-veg,yes,active
7092,non-veg,occasional,moderate
7093,balanced,yes,moderate
7094,veg,occasional,sedentary
7095,veg,yes,sedentary
7096,balanced,no,active
7097,veg,no,moderate
7098,balanced,yes,moderate
7099,balanced,yes,moderate
7100,balanced,no,moderate
7101,balanced,no,moderate
7102,balanced,occasional,sedentary
7103,balanced,no,sedentary
7104,non-veg,no,moderate
7105,balanced,no,active
7106,balanced,yes,moderate
7107,veg,occasional,active
7108,veg,yes,moderate
7109,non-veg,yes,sedentary
7110,veg,no,moderate
7111,veg,no,moderate
7112,non-veg,yes,moderate
7113,balanced,occasional,moderate
7114,veg,occasional,sedentary
7115,non-veg,yes,active
7116,veg,occasional,sedentary
7117,non-veg,no,sedentary
7118,balanced,no,moderate
7119,veg,yes,active
7120,balanced,no,moderate
7121,balanced,yes,active
7122,balanced,yes,active
7123,non-veg,no,moderate
7124,balanced,occasional,moderate
7125,non-veg,no,sedentary
7126,non-veg,yes,moderate
7127,non-veg,yes,active
7128,non-veg,yes,active
7129,balanced,occasional,moderate
7130,non-veg,occasional,moderate
7131,non-veg,no,moderate
7132,balanced,yes,active
7133,balanced,no,sedentary
7134,balanced,occasional,active
7135,balanced,yes,active
7136,balanced,yes,moderate
7137,non-veg,no,moderate
7138,non-veg,yes,moderate
7139,balanced,yes,moderate
7140,veg,no,moderate
7141,veg,no,moderate
7142,non-veg,no,sedentary
7143,non-veg,occasional,moderate
7144,balanced,yes,moderate
7145,veg,no,sedentary
7146,balanced,occasional,active
7147,non-veg,no,sedentary
7148,veg,no,sedentary
7149,balanced,no,active
7150,veg,yes,sedentary
7151,non-veg,no,sedentary
7152,non-veg,no,sedentary
7153,veg,yes,moderate
7154,non-veg,no,active
7155,veg,occasional,sedentary
7156,non-veg,no,active
7157,veg,occasional,moderate
7158,veg,occasional,sedentary
7159,veg,no,moderate
7160,balanced,occasional,sedentary
7161,balanced,occasional,moderate
7162,non-veg,occasional,sedentary
7163,balanced,no,active
7164,veg,no,moderate
7165,veg,yes,sedentary
7166,balanced,no,sedentary
7167,veg,no,active
7168,balanced,no,active
7169,balanced,no,active
7170,non-veg,yes,active
7171,balanced,occasional,sedentary
7172,veg,occasional,moderate
7173,non-veg,no,active
7174,balanced,occasional,active
7175,non-veg,yes,sedentary
7176,balanced,yes,active
7177,balanced,yes,active
7178,veg,yes,active
7179,veg,occasional,active
7180,veg,yes,active
7181,balanced,occasional,active
7182,balanced,yes,active
7183,non-veg,occasional,active
7184,veg,occasional,sedentary
7185,veg,occasional,active
7186,balanced,yes,sedentary
7187,balanced,no,sedentary
7188,non-veg,occasional,moderate
7189,veg,no,sedentary
7190,veg,yes,moderate
7191,non-veg,occasional,moderate
7192,non-veg,yes,active
7193,non-veg,occasional,sedentary
7194,non-veg,no,moderate
7195,non-veg,occasional,active
7196,balanced,no,sedentary
7197,veg,yes,moderate
7198,balanced,occasional,active
7199,veg,no,active
7200,veg,yes,active
7201,balanced,yes,moderate
7202,balanced,no,moderate
7203,non-veg,yes,sedentary
7204,non-veg,no,moderate
7205,balanced,occasional,moderate
7206,veg,yes,active
7207,non-veg,yes,active
7208,non-veg,yes,moderate
7209,veg,yes,active
7210,non-veg,no,sedentary
7211,non-veg,yes,active
7212,veg,occasional,moderate
7213,veg,yes,active
7214,balanced,no,moderate
7215,balanced,no,active
7216,veg,occasional,sedentary
7217,veg,yes,sedentary
7218,veg,occasional,sedentary
7219,non-veg,occasional,active
7220,balanced,yes,active
7221,veg,occasional,sedentary
7222,non-veg,no,sedentary
7223,balanced,yes,active
7224,veg,yes,sedentary
7225,veg,yes,moderate
7226,non-veg,yes,sedentary
7227,non-veg,yes,moderate
7228,balanced,no,sedentary
7229,balanced,yes,moderate
7230,balanced,occasional,sedentary
7231,non-veg,no,moderate
7232,veg,no,moderate
7233,veg,occasional,moderate
7234,non-veg,occasional,moderate
7235,veg,yes,active
7236,non-veg,no,moderate
7237,veg,no,moderate
7238,veg,no,sedentary
7239,balanced,occasional,sedentary
7240,non-veg,occasional,moderate
7241,veg,yes,sedentary
7242,veg,yes,sedentary
7243,balanced,no,moderate
7244,balanced,no,active
7245,balanced,occasional,active
7246,veg,occasional,sedentary
7247,non-veg,occasional,moderate
7248,balanced,occasional,sedentary
7249,balanced,yes,moderate
7250,balanced,occasional,active
7251,veg,no,active
7252,non-veg,yes,moderate
7253,veg,occasional,moderate
7254,balanced,occasional,active
7255,non-veg,occasional,moderate
7256,veg,no,sedentary
7257,balanced,no,active
7258,non-veg,yes,sedentary
7259,veg,occasional,sedentary
7260,balanced,no,sedentary
7261,veg,yes,moderate
7262,non-veg,no,moderate
7263,veg,no,active
7264,non-veg,yes,sedentary
7265,balanced,occasional,active
7266,non-veg,no,active
7267,veg,yes,moderate
7268,non-veg,occasional,moderate
7269,balanced,yes,sedentary
7270,veg,yes,active
7271,non-veg,no,sedentary
7272,balanced,yes,active
7273,veg,no,moderate
7274,balanced,yes,moderate
7275,veg,occasional,sedentary
7276,non-veg,occasional,sedentary
7277,balanced,no,moderate
7278,non-veg,yes,active
7279,veg,occasional,active
7280,balanced,occasional,active
7281,balanced,occasional,moderate
7282,balanced,yes,moderate
7283,veg,yes,moderate
7284,veg,occasional,active
7285,veg,no,moderate
7286,veg,no,sedentary
7287,balanced,yes,sedentary
7288,non-veg,occasional,moderate
7289,non-veg,occasional,active
7290,balanced,no,sedentary
7291,non-veg,no,moderate
7292,veg,yes,active
7293,non-veg,occasional,active
7294,non-veg,no,moderate
7295,non-veg,yes,sedentary
7296,balanced,no,sedentary
7297,veg,yes,sedentary
7298,veg,occasional,sedentary
7299,veg,no,moderate
7300,balanced,occasional,moderate
7301,balanced,occasional,moderate
7302,veg,occasional,moderate
7303,balanced,no,moderate
7304,balanced,yes,active
7305,balanced,yes,active
7306,veg,yes,moderate
7307,non-veg,no,sedentary
7308,veg,occasional,sedentary
7309,non-veg,yes,active
7310,non-veg,no,active
7311,balanced,no,sedentary
7312,non-veg,occasional,moderate
7313,balanced,yes,active
7314,non-veg,no,moderate
7315,non-veg,no,active
7316,balanced,no,moderate
7317,balanced,no,active
7318,balanced,no,moderate
7319,non-veg,no,moderate
7320,veg,no,active
7321,veg,no,moderate
7322,non-veg,no,moderate
7323,balanced,yes,active
7324,balanced,occasional,sedentary
7325,non-veg,no,sedentary
7326,veg,no,sedentary
7327,non-veg,no,sedentary
7328,non-veg,no,active
7329,non-veg,no,sedentary
7330,balanced,yes,active
7331,balanced,yes,sedentary
7332,balanced,no,sedentary
7333,non-veg,no,moderate
7334,veg,yes,active
7335,balanced,yes,active
7336,veg,yes,moderate
7337,veg,yes,moderate
7338,balanced,no,moderate
7339,non-veg,yes,sedentary
7340,veg,occasional,active
7341,balanced,occasional,sedentary
7342,non-veg,yes,sedentary
7343,non-veg,yes,active
7344,non-veg,no,active
7345,non-veg,no,sedentary
7346,veg,occasional,active
7347,non-veg,no,moderate
7348,balanced,occasional,moderate
7349,balanced,no,moderate
7350,balanced,occasional,moderate
7351,veg,yes,sedentary
7352,balanced,no,sedentary
7353,balanced,yes,sedentary
7354,balanced,no,moderate
7355,veg,occasional,sedentary
7356,non-veg,yes,moderate
7357,non-veg,occasional,moderate
7358,veg,occasional,moderate
7359,non-veg,yes,sedentary
7360,non-veg,no,active
7361,non-veg,yes,moderate
7362,veg,yes,moderate
7363,non-veg,yes,moderate
7364,veg,occasional,active
7365,balanced,no,sedentary
7366,non-veg,occasional,active
7367,non-veg,no,moderate
7368,balanced,no,active
7369,non-veg,occasional,sedentary
7370,non-veg,yes,active
7371,balanced,yes,sedentary
7372,balanced,yes,active
7373,non-veg,yes,moderate
7374,non-veg,yes,moderate
7375,balanced,occasional,sedentary
7376,veg,yes,active
7377,non-veg,occasional,sedentary
7378,non-veg,occasional,active
7379,veg,occasional,active
7380,balanced,yes,sedentary
7381,non-veg,occasional,moderate
7382,balanced,no,active
7383,non-veg,occasional,moderate
7384,non-veg,no,sedentary
7385,non-veg,yes,sedentary
7386,balanced,yes,moderate
7387,veg,occasional,sedentary
7388,non-veg,yes,active
7389,balanced,yes,active
7390,balanced,no,active
7391,veg,no,moderate
7392,non-veg,yes,active
7393,non-veg,occasional,moderate
7394,balanced,no,active
7395,balanced,occasional,sedentary
7396,non-veg,occasional,active
7397,non-veg,yes,active
7398,balanced,occasional,active
7399,non-veg,yes,sedentary
7400,veg,yes,active
7401,non-veg,no,active
7402,non-veg,yes,active
7403,balanced,no,moderate
7404,balanced,no,active
7405,balanced,occasional,active
7406,non-veg,yes,moderate
7407,balanced,no,sedentary
7408,balanced,no,moderate
7409,balanced,occasional,moderate
7410,veg,occasional,active
7411,non-veg,no,sedentary
7412,balanced,no,active
7413,balanced,occasional,moderate
7414,balanced,no,sedentary
7415,non-veg,occasional,active
7416,non-veg,occasional,sedentary
7417,balanced,occasional,active
7418,veg,occasional,active
7419,non-veg,yes,moderate
7420,veg,occasional,active
7421,veg,no,moderate
7422,non-veg,yes,sedentary
7423,balanced,occasional,moderate
7424,veg,yes,sedentary
7425,non-veg,yes,sedentary
7426,veg,yes,moderate
7427,veg,occasional,sedentary
7428,balanced,occasional,sedentary
7429,balanced,occasional,sedentary
7430,non-veg,occasional,moderate
7431,non-veg,occasional,sedentary
7432,balanced,no,moderate
7433,non-veg,yes,moderate
7434,balanced,occasional,active
7435,non-veg,no,sedentary
7436,non-veg,occasional,active
7437,veg,yes,active
7438,balanced,yes,sedentary
7439,veg,yes,active
7440,non-veg,yes,moderate
7441,balanced,occasional,active
7442,non-veg,no,active
7443,veg,no,moderate
7444,balanced,no,moderate
7445,veg,yes,active
7446,non-veg,no,sedentary
7447,balanced,yes,moderate
7448,veg,no,moderate
7449,non-veg,no,moderate
7450,balanced,yes,sedentary
7451,balanced,yes,sedentary
7452,veg,occasional,sedentary
7453,veg,no,moderate
7454,non-veg,no,sedentary
7455,balanced,no,sedentary
7456,balanced,occasional,moderate
7457,non-veg,occasional,active
7458,non-veg,occasional,active
7459,veg,no,sedentary
7460,veg,occasional,moderate
7461,veg,occasional,moderate
7462,balanced,yes,moderate
7463,balanced,no,sedentary
7464,veg,no,active
7465,balanced,yes,active
7466,non-veg,yes,moderate
7467,veg,no,moderate
7468,non-veg,yes,active
7469,non-veg,yes,moderate
7470,veg,yes,sedentary
7471,veg,no,active
7472,balanced,no,active
7473,veg,yes,moderate
7474,balanced,occasional,sedentary
7475,non-veg,no,sedentary
7476,non-veg,occasional,active
7477,non-veg,occasional,active
7478,non-veg,no,sedentary
7479,non-veg,yes,moderate
7480,veg,yes,sedentary
7481,non-veg,occasional,active
7482,veg,yes,moderate
7483,veg,yes,moderate
7484,veg,occasional,moderate
7485,non-veg,occasional,sedentary
7486,veg,occasional,moderate
7487,balanced,no,moderate
7488,veg,yes,sedentary
7489,veg,no,moderate
7490,veg,no,active
7491,non-veg,occasional,active
7492,non-veg,occasional,active
7493,non-veg,no,active
7494,non-veg,yes,sedentary
7495,veg,no,active
7496,non-veg,occasional,moderate
7497,non-veg,yes,moderate
7498,veg,occasional,active
7499,balanced,no,active
7500,veg,no,sedentary
7501,veg,no,active
7502,veg,occasional,active
7503,balanced,no,active
7504,balanced,yes,sedentary
7505,veg,no,active
7506,non-veg,yes,active
7507,non-veg,yes,active
7508,non-veg,occasional,active
7509,non-veg,occasional,sedentary
7510,veg,no,active
7511,balanced,occasional,sedentary
7512,veg,yes,active
7513,non-veg,yes,active
7514,non-veg,yes,active
7515,balanced,no,active
7516,non-veg,occasional,active
7517,balanced,yes,moderate
7518,balanced,occasional,moderate
7519,veg,occasional,moderate
7520,non-veg,occasional,moderate
7521,non-veg,yes,moderate
7522,non-veg,occasional,sedentary
7523,non-veg,occasional,moderate
7524,non-veg,yes,active
7525,balanced,no,active
7526,non-veg,yes,moderate
7527,veg,yes,moderate
7528,non-veg,no,moderate
7529,balanced,occasional,active
7530,veg,no,sedentary
7531,non-veg,no,active
7532,veg,yes,moderate
7533,non-veg,no,active
7534,veg,occasional,moderate
7535,balanced,occasional,sedentary
7536,veg,yes,sedentary
7537,balanced,yes,moderate
7538,balanced,no,moderate
7539,veg,occasional,moderate
7540,veg,yes,active
7541,veg,yes,active
7542,veg,occasional,sedentary
7543,balanced,occasional,moderate
7544,balanced,occasional,sedentary
7545,non-veg,no,active
7546,non-veg,occasional,active
7547,balanced,yes,moderate
7548,balanced,occasional,sedentary
7549,veg,yes,sedentary
7550,veg,yes,moderate
7551,balanced,yes,moderate
7552,balanced,occasional,active
7553,balanced,yes,active
7554,veg,occasional,sedentary
7555,non-veg,no,sedentary
7556,veg,no,sedentary
7557,balanced,yes,sedentary
7558,veg,no,moderate
7559,balanced,occasional,sedentary
7560,veg,no,sedentary
7561,balanced,yes,sedentary
7562,balanced,yes,active
7563,veg,no,active
7564,non-veg,no,active
7565,balanced,occasional,moderate
7566,veg,occasional,sedentary
7567,non-veg,occasional,moderate
7568,non-veg,yes,active
7569,veg,yes,moderate
7570,non-veg,occasional,active
7571,veg,no,moderate
7572,balanced,yes,active
7573,balanced,no,active
7574,non-veg,occasional,moderate
7575,veg,no,sedentary
7576,non-veg,yes,moderate
7577,balanced,no,sedentary
7578,balanced,occasional,moderate
7579,balanced,no,sedentary
7580,veg,no,active
7581,non-veg,no,active
7582,balanced,no,active
7583,veg,occasional,moderate
7584,non-veg,no,moderate
7585,veg,no,sedentary
7586,balanced,yes,sedentary
7587,balanced,yes,active
7588,balanced,occasional,sedentary
7589,balanced,no,moderate
7590,balanced,no,moderate
7591,balanced,yes,moderate
